"","event","flight_number","date","hour","hour_format","location","origin","destination","longitude","latitude","tcas_type"
"1","bird_strike","AVA39","2018-05-02","0.827777777777778","COL","CLO","CLO","MIA","","",""
"2","bird_strike","AVA9330","2018-05-02","0.833333333333333","COL","MDE","BOG","MDE","","",""
"3","bird_strike","AVA9271","2018-05-03","0.802777777777778","COL","NVA","BOG","NVA","","",""
"4","bird_strike","AVA261","2018-05-04","03:56","COL","BOG","BOG","GIG","","",""
"5","bird_strike","AVA9824","2018-05-01","14:30","COL","MZL","BOG","MZL","","",""
"6","bird_strike","AVA9209","2018-05-04","11:40","COL","BOG-CLO","BOG","CLO","","",""
"7","bird_strike","AVA8508","2018-05-04","18:45","COL","MTR","BOG","MTR","","",""
"8","bird_strike","AVA8567","2018-05-03","21:23","COL","BGA","BGA","BOG","","",""
"9","bird_strike","AVA9283","2018-05-02","21:43","COL","IBE","BOG","IBE","","",""
"10","bird_strike","AVA9755","2018-05-04","07:41","COL","CTG-BOG","CTG","BOG","","",""
"11","bird_strike","AVA8521","2018-05-05","19:30","COL","BAQ-BOG","BAQ","BOG","","",""
"12","bird_strike","AVA9810","2018-05-05","20:50","COL","PEI","BOG","PEI","","",""
"13","bird_strike","AVA8505","2018-05-08","23:30","COL","PEI","BOG","PEI","","",""
"14","bird_strike","AVA8551","2018-05-10","11:37","COL","BOG","CTG","BOG","","",""
"15","bird_strike","AVA571","2018-05-08","07:00","COL","JFK","JFK","SAL","","",""
"16","bird_strike","AVA8567","2018-05-03","21:12","COL","BGA","BGA","BOG","","",""
"17","bird_strike","AVA9817","2018-05-09","23:30","COL","PEI","BOG","PEI","","",""
"18","bird_strike","AVA9542","2018-05-07","09:30","COL","BOG","BOG","CTG","","",""
"19","bird_strike","AVA8464","2018-05-11","13:16","COL","CTG","CLO","CTG","","",""
"20","bird_strike","AVA9543","2018-05-13","11:18","COL","CTG","CTG","BOG","","",""
"21","bird_strike","AVA8550","2018-05-14","23:43","COL","CTG","CTG","BOG","","",""
"22","bird_strike","AVA27","2018-05-15","10:13","COL","MAD","MAD","BOG","","",""
"23","long_ldg","TAI573","2018-05-09","19:36:53","UTC","","GUA","SAL","-89.0689086914062","13.436279296875",""
"24","long_ldg","AVA004","2018-05-02","22:54:20","UTC","","BOG","MIA","-80.2879180908203","25.7873153686523",""
"25","long_ldg","TPU927","2018-05-13","06:42:10","UTC","","LIM","MDZ","-68.7927856445312","-32.8218269348145",""
"26","long_ldg","TAI520","2018-05-11","06:16:47","UTC","","SAL","LAX","-118.403945922852","33.9352226257324",""
"27","long_ldg","AVA008","2018-05-04","06:18:47","UTC","","BOG","MIA","-80.2910003662109","25.7869720458984",""
"28","long_ldg","LRC640","2018-05-02","06:05:14","UTC","","GUA","LAX","-118.405151367188","33.9353942871094",""
"29","long_ldg","TAI481","2018-05-10","01:47:07","UTC","","SAL","TGU","-87.2158050537109","14.0647659301758",""
